c_index,context,period,state,action,reward,next_state
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",41,"[17, 3, 0.5]",0.5,0.5,"[16, 3, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",42,"[16, 3, 0.5]",0.5,0.5,"[15, 3, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",43,"[15, 3, 0.5]",0.5,0.0,"[15, 3, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",44,"[15, 3, 0.5]",0.5,0.0,"[15, 3, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",45,"[15, 3, 0.5]",0.5,0.0,"[15, 3, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",46,"[15, 3, 0.5]",0.5,0.0,"[15, 3, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",47,"[15, 3, 0.5]",0.5,0.0,"[15, 3, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",48,"[15, 3, 0.5]",0.4,0.4,"[14, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",49,"[14, 2, 0.4]",0.4,0.0,"[14, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",50,"[14, 2, 0.4]",0.4,0.0,"[14, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",51,"[14, 2, 0.4]",0.4,0.0,"[14, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",52,"[14, 2, 0.4]",0.4,0.4,"[13, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",53,"[13, 2, 0.4]",0.4,0.0,"[13, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",54,"[13, 2, 0.4]",0.4,0.0,"[13, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",55,"[13, 2, 0.4]",0.4,0.0,"[13, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",56,"[13, 2, 0.4]",0.4,0.4,"[12, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",57,"[12, 2, 0.4]",0.4,0.0,"[12, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",58,"[12, 2, 0.4]",0.4,0.4,"[11, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",59,"[11, 2, 0.4]",0.4,0.0,"[11, 2, 0.4]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",60,"[11, 2, 0.4]",0.2,0.2,"[10, 1, 0.2]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",1,"[19, 6, -1]",0.4,0.0,"[19, 5, 0.4]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",2,"[19, 5, 0.4]",0.4,0.0,"[19, 5, 0.4]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",3,"[19, 5, 0.4]",0.4,0.0,"[19, 5, 0.4]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",4,"[19, 5, 0.4]",0.4,0.0,"[19, 5, 0.4]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",5,"[19, 5, 0.4]",0.4,0.0,"[19, 5, 0.4]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",6,"[19, 5, 0.4]",0.4,0.4,"[18, 5, 0.4]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",7,"[18, 5, 0.4]",0.4,0.0,"[18, 5, 0.4]"
2,"[0.5329, 0.0, 0.0, 0.4748, 0.1069]",8,"[18, 5, 0.4]",0.4,0.0,"[18, 5, 0.4]"
